시간(초),인식된_텍스트
0.0,"무사히 한국당을 밟은 직원 316명, 하지만 미국 이민국의 구금 시설에서의"
5.0,파리든 안몽이었습니다.
9.0,한국에 돌아온 동생을 만났다며 한 가족이 SNS에 올린 그립니다.
14.0,총이 무서워 항의한 마디 못했다.
16.0,음식은 개한테 줘도 못 먹을 수준이었다며 처참했던 동생의 경험을
22.0,고스란히 적었습니다.
24.0,오랜만에 만난 동생은 몸이 반쪽이 됐다고 됐습니다.
28.0,사이 많이 빠졌더라고요.
30.0,일 같은 것은 샤녀 먹을 수 없는 연소 한테 줘도 못 먹을 정도의
36.0,야채 뭐 이렇게 나왔다고.
38.0,샤워시설과 화장실은 천조가리 한장이 가림막에 전부 였고 70명이
44.0,넘는 사람을 한 곳에 몰아 놓은 숙박시설은 제대로 된 침구류 하나
49.0,없었다고 했습니다.
50.0,몸과 마음이 지칠 때로 지친 상황.
54.0,직원들을 파견보낸 기업에서는 우선 건강 회복에 만전을 기하는 모습입니다.
60.0,건강 검지가 요즘에 실링 보자 서로를 못먹을 것 있잖아요.
65.0,그래서 좀 진행하고.
67.0,추석까지 유구표과를 제공하거나
71.0,각종 심리상담 등을 진행하는 계획도 세웠습니다.
75.0,막상 우리 기술자들이 한국으로 돌아오자 미국 현지 언론에서는 트럼프 정부의 실수라며
81.0,비판의 목소리가 커지고 있습니다.
84.0,마크서는 미국의 현지 언론에서는 트럼프 정부의 실수라며 비판의 목소리가 커지고 있습니다.
90.0,미국의 이런 일을 할 일역이 없다며
94.0,조지하에서와 같은 급습은 트럼프 대통령이 원하는 외국인 투자를 오히려 억지 않은 요인이라고 지적했습니다.
121.0,MBC 뉴스 박진준입니다.
125.0,현지 시간 4일 미국 조지하주 메타플랜트 배터리 공정에 난데없이
129.5,들이닥친 이민세관 단속 년들.
132.5,헬기에 무장차랑 행렬까지 이어지며 마치 군사 작전을 방부했습니다.
141.0,다 모여가지고 비자 분류하고 이렇게 있다가 어느 순간부터 사람이 이제 끌려가더라고요.
149.0,317명 한국인 직원들이 줄지와 수색을 당했고 케이블 타이에 손발이
155.0,묶이기도 했습니다. 소지품을 반납하자 손에는 일제히 수갑이 지어졌습니다.
170.5,영문도 모른체에 버스를 타고 끌려간 포크스턴 구금시설은 최악이었습니다.
176.0,이미 수감된 다른 젖우들과 같은 공간에서 같은 취급을 받아야했기 때문입니다.
182.0,적셔도 차는 친구들도 있었고 저 같은 경우는 허리 체인에다가 수갑 이렇게 차고.
189.0,2인일 씨른 그나마 나은편. 한방에 8명 넘는 인원을 물어놓게 됐습니다.
195.0,"순덕하던 공재자, 신분이 공재자인가? 공재자가 막 먹으려고."
201.0,술대명이 같이 쓴 화장실은 턱 없이 부족했습니다.
215.0,내일 세 번 빵을 제공받았지만 냄새라는 물은 고역이었습니다.
225.0,거기서 없는 황정임이 왜 찍은지도 모를 정도라.
229.0,석방이 한 차례 옮기 됐을 때는 모두가 막연자실했고.
232.0,저희가 다 기대하고 이제 준비하고 있었는데 갑자기 이제 뭐가 협상이 잘못됐다 그래가지고
239.0,언제 나갈 수 있을지 하루하루 마음 조려했습니다.
243.0,나갈지를 계속 몰라가지고 그게 제일 힘들었지.
248.0,언제까지 버텨야 되는 진짜 최악이라고 해야 될지.
253.0,11일 새벽 굳게 다쳐 있던 구금시설의 철문이 드디어 열렸고.
258.0,살았구나 끝났구나.
261.0,싶었죠.
262.0,구금된지 8일 만에 고급으로 양하는 비행기에 올라탈 수 있었습니다.
267.0,MBC 뉴스 지인수입니다.
271.0,지난 주말 조지아 포크스턴 구금센터에서 만난 마리아 토레스.
275.0,LG 계열사에서 일하다.
277.0,스사슬에 묶여 끌려간 남편을 면에하러 일어나침 줄을 섰습니다.
286.0,체포대 구금된 남편은 7살의 미국으로 이민으로는 영주권자였습니다.
291.0,부인인 마리아도 영주권자.
294.0,심지어 이민 변호사 사무실에서 근무하는 이민법 전문 인력입니다.
299.0,이런 그도 남편이 체포된 이유를 짐작조차 못하고 있었습니다.
315.0,유일하게 자류를 선택한 한국인도동자 한 명은 영주권 신청 상태.
319.0,가정모두 미국 영주권자였습니다.
323.0,구금됐던 한국인 중엔 미국의 세금까지 내는 주재원 비자를 소지한
327.0,이도 있는 것으로 알려졌습니다.
329.0,아무 문제가 없는데도 영문도 모른 채 끌려가 가셨던 셈입니다.
344.0,구금된 노동자들의 귀국과 관련한 협의를 잘하는 외교 소식통은
348.0,MBC에 미국 측이 일부 위반이 있지만 모두 격리한 수준이라고 했다며
354.0,이는 이민국 차원의 판단으로 알고 있다고 말했습니다.
358.0,이민 당국은 지난 1월부터 수사를 해왔다며 정당성을 주장했지만
362.0,한국인 300여 명을 끌고가 강제조사한 결과가 고작 이런 것이었습니다.
368.0,하지만 폭스뉴스 앤커등 이른바 마가 진영의 주요 인사들은 항의하는 한국 정부의 태도가 오히려 충격적이라며
374.0,부당한 체포였다는 우리 국민의 인식과 극명한 차이를 드러냈습니다.
378.0,뉴욕에서 MBC 뉴스 나세웅입니다.
